neighbourhood,sum,mean
Breezy Point,686.0,228.66666666666666
Financial District,116235.53995126497,222.67344818249995
Flatiron District,15905.356321839081,206.56306911479325
Huguenot,180.0,180.0
Sea Gate,2119.9285714285716,163.07142857142858
Midtown,262966.42194780585,160.73742172848767
Tribeca,31211.020333459644,159.2398996605084
Jamaica Estates,3462.133333333333,157.36969696969697
Theater District,50666.895720925415,144.76255920264404
Briarwood,5198.45,140.49864864864864
Belle Harbor,554.5,138.625
Douglaston,1186.1666666666667,131.7962962962963
Little Italy,16959.861107387238,122.01338926177868
Arverne,8656.411904761904,121.92129443326625
Fort Wadsworth,114.28571428571429,114.28571428571429
Battery Park City,8871.317060071155,113.73483410347635
Greenwich Village,38875.820669181645,113.67199026076504
Stuyvesant Town,5552.795622119816,113.32235963509828
Riverdale,1111.0238095238096,111.10238095238097
Neponsit,216.66666666666669,108.33333333333334
Tottenville,103.0,103.0
Chelsea,113744.98943158594,101.55802627820174
Eltingville,405.3333333333333,101.33333333333333
SoHo,36091.882735496714,101.09771074368828
NoHo,6821.410591133005,100.3148616343089
Howard Beach,2306.7552511415524,100.29370657137184
Woodrow,100.0,100.0
West Village,70848.00001816744,99.08811191352089
Hell's Kitchen,181109.35620855785,97.47543391203328
Arden Heights,487.1333333333333,97.42666666666666
Howland Hook,386.33333333333337,96.58333333333334
Todt Hill,287.3333333333333,95.77777777777777
Eastchester,932.0,93.2
Clifton,1110.6666666666667,92.55555555555556
Bayside,5807.471428571429,92.18208616780046
Clinton Hill,49805.36012037431,91.72257849056042
Lower East Side,74791.67846412209,90.11045598086999
Fresh Meadows,3016.0,88.70588235294117
Far Rockaway,2894.116666666667,87.70050505050506
Columbia St,3583.5178571428573,87.40287456445994
Brooklyn Heights,13054.177291346647,85.88274533780688
Mill Basin,764.3333333333334,84.92592592592592
Cypress Hills,12046.089326765188,84.23838690045586
Vinegar Hill,2070.0238095238096,82.80095238095238
Kips Bay,34912.090884314326,81.76133696560733
Shore Acres,735.7,81.74444444444445
Civic Center,3533.206157635468,78.5156923918993
Gramercy,25509.52795546747,78.49085524759222
Rockaway Beach,4771.858333333334,78.22718579234973
Upper East Side,129721.90215257062,78.00475174538221
Willowbrook,77.25,77.25
Rosebank,308.8333333333333,77.20833333333333
Sheepshead Bay,10983.870819473648,76.27688069078923
Oakwood,378.0,75.6
DUMBO,2766.0920634920635,74.75924495924497
Lighthouse Hill,147.5,73.75
Holliswood,294.6666666666667,73.66666666666667
East Village,124729.25064341903,73.41333175009949
Red Hook,5660.985935769657,71.65804981986908
East Morrisania,1214.404761904762,71.43557422969188
Upper West Side,128439.52247911486,70.64880224373755
Gowanus,15869.759644225507,70.5322650854467
Murray Hill,32293.774155565738,70.35680643914104
Grymes Hill,562.6666666666666,70.33333333333333
Brighton Beach,5138.36222734255,69.43732739652094
Arrochar,1374.547619047619,68.72738095238095
Jamaica,16388.869047619046,68.57267383941023
Downtown Brooklyn,5076.434920634921,67.68579894179894
Brownsville,5404.383394383394,67.55479242979243
Throgs Neck,1811.5958904109589,67.09614408929477
Springfield Gardens,5901.885714285714,67.06688311688312
